user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
14342661,1272359430701699072,2020-06-15T02:45:02Z,CARandDRIVER,1000-hp Hellephant-powered @Dodge Demon rolls onto dyno in video: https://t.co/fj18FvEVBl https://t.co/XyIngamybg,SocialFlow,,,,,FALSE,FALSE,133,17,,,,,crdrv.co/duF9hms,https://t.co/fj18FvEVBl,http://crdrv.co/duF9hms,http://pbs.twimg.com/media/EahUKFWX0AAYHnZ.jpg,https://t.co/XyIngamybg,https://twitter.com/CARandDRIVER/status/1272359430701699072/photo/1,photo,http://pbs.twimg.com/media/EahUKFWX0AAYHnZ.jpg,https://t.co/XyIngamybg,https://twitter.com/CARandDRIVER/status/1272359430701699072/photo/1,,89183429,Dodge,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/NA/status/1272359430701699072,Car and Driver,"Ann Arbor, MI",Car and Driver is the worldwide leader in providing objective test results and expert vehicle reviews. Follow us for the latest automotive reviews and news!,http://t.co/uMTUR3UJQh,FALSE,1089919,982,3833,33485,3666,2008-04-09T15:39:55Z,TRUE,http://t.co/uMTUR3UJQh,http://www.caranddriver.com,,https://pbs.twimg.com/profile_banners/14342661/1589386475,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/905461745178816514/goEtq5xZ_normal.jpg
25383000,1271871797370089472,2020-06-13T18:27:21Z,MotorTrend,Today is the day! Lights are green for the @24hoursoflemans Virtual! 🏁 🏎 Get all the LIVE coverage right here! https://t.co/GE6bAEbN3R,Twitter for iPhone,,,,,FALSE,FALSE,17,5,,,,,motortrendondemand.com/detail/24-hour…,https://t.co/GE6bAEbN3R,https://www.motortrendondemand.com/detail/24-hours-of-le-mans-virtual/196059/?sm_id=organic:sm_id:lineup:2020:lmns:mtg:MTAPP,,,,,,,,,102789583,24hoursoflemans,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/NA/status/1271871797370089472,motortrend,Around the World,"To embrace, entertain, and empower a motoring world. ▪️Instagram: @MotorTrend",,FALSE,739801,1180,3533,41567,2914,2009-03-19T20:53:09Z,TRUE,,,,https://pbs.twimg.com/profile_banners/25383000/1591290185,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1268290610642841606/tmgqtz8r_normal.jpg
72861485,1272401471863169025,2020-06-15T05:32:05Z,AutoweekUSA,Ford switched from Tremec to Getrag for its Mustang manual transmissions back in 2011; a new class action lawsuit c… https://t.co/8U1LTxJA8X,SocialFlow,,,,,FALSE,FALSE,5,2,,,,,twitter.com/i/web/status/1…,https://t.co/8U1LTxJA8X,https://twitter.com/i/web/status/1272401471863169025,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/NA/status/1272401471863169025,Autoweek,"Detroit, MI","Car news, racing and culture since 1958. For on-the-ground motorsports news, follow @Autoweek_Racing.",https://t.co/vmRBIAd2qP,FALSE,164567,562,1722,42962,907,2009-09-09T14:14:49Z,TRUE,https://t.co/vmRBIAd2qP,http://www.autoweek.com,,https://pbs.twimg.com/profile_banners/72861485/1576699667,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1207392025269719041/hLqoPr0A_normal.jpg
21200953,1272220030823018496,2020-06-14T17:31:06Z,RoadandTrack,Watch a bunch of Safari 911s frolic through the snow on a frozen lake. https://t.co/6WacyUrnzW https://t.co/tfUAvfe0J7,SocialFlow,,,,,FALSE,FALSE,66,7,,,,,roadand.tk/YgnVPbD,https://t.co/6WacyUrnzW,http://roadand.tk/YgnVPbD,http://pbs.twimg.com/media/EafVYBTXkAQNtYl.png,https://t.co/tfUAvfe0J7,https://twitter.com/RoadandTrack/status/1272220030823018496/photo/1,photo,http://pbs.twimg.com/media/EafVYBTXkAQNtYl.png,https://t.co/tfUAvfe0J7,https://twitter.com/RoadandTrack/status/1272220030823018496/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/NA/status/1272220030823018496,Road & Track,"New York, NY",Hope you like cars.,http://t.co/MOF3c631Tk,FALSE,659062,1169,1966,45268,468,2009-02-18T14:38:00Z,TRUE,http://t.co/MOF3c631Tk,http://www.roadandtrack.com,,https://pbs.twimg.com/profile_banners/21200953/1544480352,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/845016711292071936/ZqE0j-8u_normal.jpg
